,Text,Label
6679,консультация по маршрутизации  коллеги добрый день при анализе трейсов операторов калининграда столкнулся с некоторой проблемой которую возможно в силу отсутствия дополнительной информации понять никак не могу в приложенном ниже трейсе видно что оператор при наборе городского номера попадает на роут и транковую группу однако в этот роут не прописан для исходящих направлений как такое может быть и зачем передается значок в конце цифр номера и ли его передает ведь как я понимаю он ставится чтобы указать что цифр больше не будет как мне кажется по текущей маршрутизации попасть на роут на мой взгляд невозможно или я ошибаюсь пример трейса     ,1
5576,повторная заявка  телефон в чайной получил левый номер прошу восстановить номер напоминаю номер вне пула городских линии ,5
2585,настройка для  прошу введенный ранее список исключений для на продублировать на правилах файервола для подсети ,3
6466,подсистема  прошу посмотреть по отчётам вызова с номера которые пришли сегодня примерно в  переадресованные из краснодарского филиала первый должен был прийти на и распределился на агента внутр перед этим он был перенаправлен в очередь прошу посмотреть с какого агента второй должен был прийти на стратегию но распределился на сотрудника пульта дмс внутр прошу проверить по какой стратегии пришёл и почему так распределился ,1
6364,обновление  добрый день можно уточнить информацию в рамках ранее отрытой заявки т к завтра планируем выполнить обновление по заявке для обновления был предоставлен версии со следующими параметрами на я также нашел версии прошу уточнить следует ли обновлять до версии или до версии т к по характеристикам оба подходят но отличие в букве   в названии и отличие в требуемых аппаратных ресурсах ,1
7190,  добрый день прошу открыть кейс сервер ,1
2871,заменить голосовое приветствие на номере  просьба заменить голосовое приветствие на номере записанный файл во вложении напоминаю должна остаться функция набора добавочного номера и переадресация на контактное лицо конечный пользователь сцепуро инна геннадьевна руководитель контактного центра приоритет средний,3
5825,  нужно сделать репликацию х серверов и из здании налбандяна на здание хоренаци ,5
982,после активации роутер ушел  после активации роутер ушел в циклическую перегрузку детали у кирилла жукова просьба открыть кейс в ,2
3999,переадресация  добрый день прошу настроить переадресацию с перечисленных номеров в следующем режиме по рабочим дням с до через три звонка на на на тип стандартного изменения настройки переадресации ,3
1702,доступ к почте коллеги добрый день прошу настроить доступ для  к почтовому ящику ,3
6827,проводимые работы  добрый день подскажите проводятся ли какие нибудь регулярные регламентные периодические работы вашими силами не по заявкам если да то какие проводилось ли в последнее время обновление а ,1
6308,просьба предоставить список внешних адресов просьба предоставить список внешних адресов,1
468,просьба восстановить папку  коллеги доброе утро у нас в выходные судя по всему пропала папка вот отсюда   верните пожалуйста срочно там вся наша жизнь ,5
6741,телефония история звонков  добрый день прошу проконсультировать как в можно посмотреть историю звонков на определенный номер контактное лицо сергей васильев,1
234,ск альянс запрос на инфо по  добрый день коллеги можно попросить вас посмотреть в чем дело шлюз в вел новгороде не отвечает нам по может коммьюнити неправильное а может с проблема если несложно то можете прислать на адрес сергея зубренкова информацию по регионам в каком какой спасибо с уважениемвалерий гарейшин зубренков сергей евгеньевич гарейшин валерий рифович регионов изменить темплейты с на хабаровск уже сделал великий новгород не отвечает по  гарейшин валерий рифович ,1
2473,настроить карусели на доп блоке к циско телефон н   прошу настроить карусели на доп блоке к циско телефон номер название карусели ти значный номер карусели сф и лось  сердце столицы  алые паруса  суббота  символ  кленовый дом  плющиха  баррин  смоленский  долина сетунь  все вопросы по старым домам включая мм кладовки и вторичные продажи  нежилые коммерция  нежилые активы и тц  вторичка если не готов то на группу бера   приоритет среднийконтактное лицо конечный пользователь андрощук ларисасекретарь отдела продажао дон строй инвест тел вн ,3
2933,новый сотрудник  контактное лицо конечный пользователь крамич елена николаевнаруководитель группы телефонных продажзао дон строй инвест информация по заявке создать добавочный номер и прикрепить к телефону новогых сотрудников телемаркетинга граб алина сергеевна овчинников сергей юрьевич по аналогии с алексеевой кристиной приоритет средний,3
5398,включение в  здравствуйте создайте пожалуйста в сервер необходимо для одного устройства с мак адресом выдать следующие настройки должен выдавать только по зарегистрированному мак адресу нет в списке ни чего не отдает спасибо сообщите пожалуйста как сделаете ,5
4766,заведение пользователей в системе прошу завести пользователей и подключить её к системе записи разговоров,5
4623,сетевая папка отдела  прошу создать сетевую папку для отдела бухгалтерии аналогично папке экономический отдел например т е группы доступа для чтения и чтения редактирования ,3
3573,изменение номеров  пожалуйста измените телефон на любой другой из городского пула этот же телефон был ранее присвоен директору завода его необходимо оставить за ним сейчас в поиске по номеру выходит только контакт оксаны информацию по старой заявке мы можете найти ниже заявки  дата регистрации  заключение регистрация телефона диспетчер юсупов русланпримечания пожалуйста зарегистрируйте номер на имя доступ к звонкам город межгородтип стандартного изменения изменение настроек присвоения имен за номером телефономтип стандартного изменения изменение настроек присвоения имен за номером телефоном,3
7160,  тестовая заявка ,1
4280,новый внутренний и карусельный номер   контактная информация название организации донстройзаявитель пчелинцев с а тел доб контактное лицо конечный пользователь намашко ирина анатольевна руководитель группы информация по заявке просьба присвоить внутренний и карусельный номера новому сотруднику менеджер по реализации недвижимости группы продаж отдела продаж управления продаж бн продажи битембаев арсен сагнаевич приоритет средний с уважением пчелинцев сергей тел доб моб ,3
2204,новый пользователь  см вложение,3
2404,открыть порты  для работоспособности нового сервиса нам необходимо на открыть проброс портов снаружи и изнутри так же нужно убрать с сервера для нормальной работы достаточно будет оставить правило на проброс портов порты нужны в обе стороны остальное нужно закрыть ,3
6753,консультация  добрый день просьба подсказать как своими силами выключить сервера вкс и правильно включить на площадке череповец для переноса из серверной в цод ,1
7517,информационный запрос  добрый день подскажите пожалуйста какую последнюю прошивку вы можете порекомендовать для контроллера ,1
5586,регистрация телефона  прошу зарегистрировать номер город межгород ,3
1934,регистрация телефнов   доступ к город межгород доступ к город межгород тип стандартного изменения изменение настроек присвоения имен за номером телефоном,3
222,проблемы с  коллеги почта не обновляется у всех выдает ошибку при входе ,2
1882,настройка порта на свитче  заявка выполнена людмилой подать на порт для заявку можно сразу закрыть выполнена тип стандартного изменения изменение настроек на портах коммутатора,3
626,алексею кротову  отвалился ,2
3092,настройка оповещения  прошу настроить оповещение сотрудников приказчикова артема викторовича и массино виктории викторовны по следующим событиям с соответствующим текстом ожидание в очереди группы более минут ожидание в очереди группы более минут внимание звонок в очереди более сек внимание звонок в очереди более сек ожидание в очереди группы более минут ожидание в очереди группы более минут ожидание в очереди группы более минут рассылку необходимо направлять на адреса и ,3
6129,настройки  коллеги просим перевести из здании налбандяна на здание хоренаци перевести все настройки из на настроить в здании московяна для сети настроить в здании московяна для подключения здании хоренаци спасибо ,5
800,не работает  на не работает ,2
6219,создание стратегии распределения вызовов  схемы звонка и аудио файлы будут предоставлены по почтетип стандартного изменения добавление удаление ов,5
3495,изменить имя при звонке на телефоне сотрудника  изменить отображаемое имя на номере на воронова инна владимировна,3
5716,изменение конфигурации  прсьба внести в конфигурационный файл строки ,3
3114,запрос на изменение данных  добрый день просьба изменить подпись абонентов с на с с на с уважением ооо фосагро курск тел факс тип стандартного изменения изменение настроек присвоения имен за номером телефоном,3
2896,перенести из подсети в подсеть оборудование  необходимо перенести устройства из подсети в ую и сохранить новую конфигурацию портов чтобы эти устройства не попали обратно при перезагрузке сетевого оборудования,3
455,нет выхода по трс  нет выхода по трс на с петербург с фосагро череповец ххх идет сброс,2
1580,не работают сервисы на  не работают сервисы на ,2
5357,свободное место на  коллеги на виртуалке байт свободного места удалите пожалуйста что нибудь не нужное логин пароль ,5
7570,проактивная замена батареек на сх втб  просьба завести заявку и назначить на меня никого оповещать не требуется наименование организации втб контактное лицо матвиенко кирилл александрович контактный телефон тел доб контактный адрес г москва днепропетровский проезд а ,1
2768,перевести порт   контактная информация название организации донстройзаявитель пчелинцев с а тел доб контактное лицо конечный пользователь твердяков юрий анатольевичэкспертотдел информационной безопасности информация по заявке прошу перевести порт в влан на ядре ме х х х х х сейчас не активен приоритет среднийс уважением пчелинцев сергей тел доб моб ,3
7531,статистика в личном кабинете абонента  со слов аб та настроено расписание в будние дни с доступ есть в интернетв ночное время доступа в интернет нетно по логам в отчете в елке аб т видит активность в ночное время в ночивидит устройства и но дома нет устройств активность наблюдается на сайтах и тд по логам процеры инета у абонента в часы запрета нет откуда статистика в елка просьба исправить,1
6995,маршрутизация по линии  андрей доброе утро помогите разобраться с маршрутизацией звонков на линию вопрос какие звонки маршрутизируются на какие на есть возможность получить схему распределения по звонкам отчет по очередям новый по дням с по  представление              объектгруппастатистическое значение           вошедшие          внутренние переводывошедшие          звонки с номера вошедшие          переводы с моб врачей на номер вошедшие          переводы с моб врачейвошедшие          общая линиявошедшие          отчет по очередям новый по дням с по  представление              объектгруппастатистическое значение          анализ звонковотвеченные          анализ звонковотвеченные          анализ звонковотвеченные          анализ звонковотвеченные          анализ звонковотвеченные          анализ звонковотвеченные          ,1
4704,изменения на  на мск запланированы работы по внесению изменений в аксес листы на прошу предоставить контакты исполнителя для добавления в файл с планируемыми изменениями прикрепил решили временно открыть все порты между указанными в файле адресами и после того как начнем фиксировать трафик на сможем разрешить конкретные портытакже мои коллеги из сетевой команды попросили добавить на часть конфигурации для выгрузки логов в это поможет им определить проблему со связностью ниже указать имя менеджмент интерфейса ,3
4718,создание новых пользователей в связи с выходом новых сотрудников в отдел кустова мария карелина виктория прошу создать для них учетные записи в телефонии настроить запись разговоров по их номерам добавив их в группу добавить их номера в систему отчетности заранее благодарен ,5
2085,запрос для  добрый день название организации оао вымпелком сервисный договор дс от июня гконтактное лицо логинов сергейтел доп прошу предоставить более новую версию текущая по для платформы приоритет ,3
256,замена  добрый день возникла проблема с установкой во время установки выяснилось что по на модуле установленно для работы в шасси в шасси с модуль не загружается и уходит в со слов нашего инженера для замены по модуль необходимо установить в шасси с но у нас этого оборудования нет подскажите что можно сделать ,1
741,группа открывает  группа открывает ,2
4740,модернизация екатеренбург провести модернизацию офиса с на ,5
6851,не стабильно работает в билетных цен  добрый день сегодня в промежутке крайне не стабильно работал в главный билетный центр и дополнительный билетный центр в спб наблюдались перерыва связи и низкая скорость соединения сейчас все работает корректно прошу проверить с чем это может быть связано на данном работает часть оборудования билетного центра спасибо   ,1
957,турникет т  вход в зону т на втором этаже не работает турникет,2
5472,восстановление номера  на телефоне с мас сбились настройки и телефон получил левый номер прошу восстановить номер закрепленного за ,3
3279,доступ к почте коллеги добрый день прошу настроить доступ для  к почтовому ящику ,5
240,проблема с авторизацией коллеги срочно нужен доступ к в связи с перебоями в работе и не могу авторизоваться просьба оперативно поправить ,2
2696,сбросить пароль на локальном компе бенца ия  сбросить пароль на локальном компе бенца ия,3
5828,убрать доступ извне  убрать доступ извне ,5
98,не пользователь не может зайти на   коллеги приветствую не пользователь не может зайти на  ,2
841,все сотрудников вывело из системы  в всех сотрудников выбило из и они не могли минут зайти обратно появлялось сообщение о том что сервер лицензирования не работает прошу проверить работоспособность оборудования и каналов связи ,2
3304,предоставить доступ к папке       лаунж барчтение записьпользователю тип стандартного изменения предоставление доступа,5
4781, таймаут нам действительно изменили таймаут как мы и просили но музыка которая играла во время этого таймаута раньше теперь почему то отсутствует прошу исправить данную ситуацию ,5
4133,изменить переадресацию  прошу изменить переадресацию через секунд по схеме представленной в вложении контактное лицо конечный пользователь пчелинцев с а тел доб приоритет средний,3
5274,блок питания в  коллеги в вышел из строя один из блоков питания нужно поменять фото вышедшего из строя блока в аттаче ,5
847,не работают  не работают два маршрутизатора боковой владимир ,2
3461,новый пользователь  новый пользователь ,5
6787,требуется консультация  коллеги добрый день снова требуется ваша помощь сейчас в см входящие вызовы с транков филиалов архангельск калининград новгород псков коми поступают к нам с аоном вида авс ххх хх хх знаков при этом остальные филиалы карелия мурманск питер поступают к нам с аоном вида авс ххх хх хх знаков отсюда вытекает вопрос можно ли каким нибудь образом изменить принятый аон убрав вариант с изменением аона прямо на транке не подходит так как в этом случае не будет доступна услуга автоматического перезвона на абонента без перенабора номера оператором как я понял возможность изменения аона прямо на транке относится только для входящих вызовов в сторону см и повторно изменить аон на другом транке к примеру при передачи вызова в сторону другого филиала уже не получится может быть я ошибаюсь ,1
3442,диме лопаткину  порт на циске ресепшн настроить по стандартному шаблону тип стандартного изменения изменение настроек на портах коммутатора,3
6861,  прошу зарегистрировать заявку на оборудование расположение москва перовское ш д заказчик втб описание ошибки присутствует ошибка в ошибок нет есть ошибка  необходима диагностика аппаратной части контакты коростелев алексей юрьевичведущий инженер отдел вычислительных комплексов департамент исполнения проектов дирекция по сервису и аутсорсингу доб ,1
67,в филиале альянса в г чита пропала связь с цо  добрый день в филиале альянса в г чита пропала связь с цо подробности во вложении приоритет высокий ,2
1578,зависла сессия в  номер занят агентом при этом персону и логин агента перевели в состояние но зайти в этот все равно не получается ,2
5878,остановить оракловые нистансы  остановить оракловые нистансы ,5
3671,убрать все что связано с сетью сколтех с сетевого  диме лопаткину постфактумтип стандартного изменения изменение настроек на портах коммутатора,5
3681,настроить и й порт на  настроить и й порт на ,3
857,выход из строя  добрый день судя по всему вышел из строя модуль перезагрузка модуля отдельно и всего маршрутизатора результатов не принесло логи во вложении ,2
3409,  конфигурация а на и на тип стандартного изменения изменение настроек на портах коммутатора,3
2239,  добрый день отчёт показывает на существующую уязвимость на оборудовании подсказывает что уязвимость лечится обновлением до версии текущая версия установленная на нашем просьба предоставить интересующие файлы для обновления с уважением норжимоев амагалан батожаргаловичначальник отдела  отдел телекоммуникаций  управление инфраструктуры и безопасности информационных систем  департамент информационных технологий     ао кредит европа банк тел доб ,3
4106,замена телефона   контактная информация название организации донстройзаявитель пчелинцев с а тел доб контактное лицо конечный пользователь пчелинцев с а тел доб информация по заявке прошу перенести все данные с телефон номер на телефон новый приоритет среднийс уважением пчелинцев сергей тел доб моб ,3
6021,  коллеги на сервере открыть порт нужно закрыть весь трафик с интернет на этот и окрывая доступ толкько из нижеследующих адресов ,5
3247,не доходит внешняя почта пользователь не получает письма от внешних адресов точнее от некоторых адресатов в частности с этого электронного адреса спасибо,2
5928,настройка сети  нужно настроить сеть чтоб тестовый сервер адресом здание хоренаци увидел сервера адресом здание налбандяна спасибо ,5
3312,доступ к серверу с  коллеги необходим доступ в с для пользователя к серверу открыть порты с по на сетевом оборудовании ,5
2060,изменение  прошу добавить в очередь тип стандартного изменения настройки переадресации ,3
1030,проблема с перенаправлением пакетов  у нас в пятницу перестал работать интернет на площадке изумруд при этом само соединение с бфа есть пинги между площадками идут но по пакеты вы ходящие в интернет по какой то причине больше не перенаправляются на прокси сервер который управляет доступом в интернет прошу помочь с восстановлением доступа в интернет нв площадке изумруд подсеть должна перенаправлять все пакеты которые уходят в интернет на ,2
7429,экспорт данных  не могу понять почему не экспортируется через экспорт данных в эксельиз за этого не могу сделать остальные действия что я делаю не так ,1
7609, балансировка сессий после обновления  заявка для фиксирования работ по балансировке сессий после обновления по на кластере казани ,1
7087, формула рассчета  андрей добрый день пожалуйста направьте нам информацию по какой формуле считается и наш руководитель очень хочет посмотреть как рассчитывается ,1
2845,присвоить внутренний номер  прошу присвоить мне персональный внутренний номер ранее не используемый никем желательно легко запоминающийся если предложите выбор буду признательна временный номер переделай ей на красивый номер и сделай переадресацию со старого ,3
5087,открыть доступ к ресурсам санкт петербург добрый день просьба проверить и открыть прямой доступ к ресурсам в интернет в филиале оао ск альянс г санкт петербург ул профессора попова д лит в спасибо ,3
38,при совершении исходящего вызова когда клиент подни  при совершении исходящего вызова когда клиент поднимает трубку то слышит гудки как на дозвоне ,2
5846,настроить и открыть порт  настроить с к и открыть порт извне сервер ,5
6385,анализ логов приложения  добрый день необходимо собрать логи включая все приложения во время возникновения ошибки на время нужно посмотреть запросы которые делает интернет банк на сервер ,1
2633,  зарегистрировать на череповецком телефон взят на тест у вашей организации на данный момент имеет ,3
5856,проверка мтт оператор междугродней связи  мы тестируем нового оператора для междугородней связи на территории россии просьба временно заменить текущего оператора для исходящей междугородней связи по россии росстел на мтт просьба произвести настрйоки предварительно сохранив текущие для росстел параметры для настройки основное адрес сервера кодеки а кол во линий в транке не ограничено правила набора номера для звонков по россии мг код города или мобильной сети номер абонента цифр код города или мобильной сети номер абонента цифр  ,5
1989,изменение имени контакта  пожалуйста измените имя контакта на в данный момент оно отображается некорректнотип стандартного изменения изменение настроек присвоения имен за номером телефоном,3
1240,связь на московяна  коллеги пропал связь на московяна просим разобратся спасибо ,2
5030,диск к  коллеги добрый день просьба добавить в политику применяемую ко всем группам пользователей сколково логон скрипт на подключение диска к скрипт во вложении или добавить в существующие логон скрипты команду на подключение диска ,5
1496,не уходят письма на адреса  не уходят письма на адреса ,2
6997,  коллеги подскажите пожалуйста когда от вас можно ожидать сетевую схему вашего узла связи с втб необходимо уже сейчас начать прорабатывать решение по подключению для реализации подключения фпсу в вашей сети а также для выработки рабочего решения по установке оборудования необходима подробная схема на физическом как именно соединено и скоммутировано оборудование и логическом уровне вашего сегмента доступа в сеть втб с указанием типов и моделей всех включая коммутаторы сетевых устройств и их фактическими адресами указанием всех подсетей на схеме адрес маска ов если есть желательно сделать схему коммутации сетевого оборудования и точную логическую схему эти данные нам необходимы для создания полноценного стенда эмулирующего вашу сеть и тестирования всех аспектов и параметров внедрения фпсу просьба составить данную схему и по возможности оперативно прислать нам спасибо ,1
