,ID,Company,Short_Description,Detailed_Description,Submit_Date,Service_Type
20,INC000000126303,Билайн,проблемы с лайнкартой на ,добрый день у нас была с а вы прислали с дело в том что все у нас с то есть версия у нас поэтому пробовали ставить старую с новым ошибка есть новую со старым ошибка естьновую с новым ошибка естьсейчас в стоят две карты в конфигурации новая с новым первый слот старая со старым третий слот ошибка есть в первом и третьем слотах ,1389965867,2.0
21,INC000000126321,Альянс СК,два туннеля ,добрый день у нас не работают два туннеля с иваново и каширой прошу проверить спасибо с уважениемвалерий гарейшин маташова ирина рашидовна горячая линия ск альянс леднев иван вячеславович иваново не могу войти в программы да обращалась он сказал что все оборудование исправно с уважением ирина маташова ткачев александр викторович горячая линия ск альянс маташова ирина рашидовна иваново не могу войти в программы добрый день уточните к местному ит специалисту обращались с уважением ткачев александрспециалист отдела обработки обращений пользователей филиал оао ск альянс сервисный центр альянс г воронеж пр т московский д тел доб тел доб маташова ирина рашидовна горячая линия ск альянс леднев иван вячеславович иваново не могу войти в программы добрый день коллеги я не могу войти в экд в эхд и кис с другого компьютера прошу срочно восстановить доступ к этим программам спасибо [ ]с уважением маташова ирина рашидовна руководитель направления урегулированияубытков администратор ивановского филиала оао ск альянс г иваново пр т шереметьевский д тел доб факс ,1390217704,2.0
22,INC000000126329,Норильский Никель, ,проблема с вентилятором роутера название устройства модель серийный номер ,1390291583,2.0
24,INC000000126336,Белый ветер,не аботает исходящаа связь,при попытке позвонить на междугородний номер набираем код доступа и ничего не происходит,1390309851,2.0
25,INC000000126338,Сколково-менеджмент,почта ,коллеги на адрес не доходят письма скажите можно ли устранить эту проблему ,1390310651,2.0
26,INC000000126350,МОРГАН ЭНД СТАУТ,нет входа агентом в ,сбой подключения агента в пишет что гарнитура не подключена ,1390373057,2.0
27,INC000000126351,МОРГАН ЭНД СТАУТ,нет входа агентом в ,сбой подключения агента в пишет что гарнитура не подключена ,1390373060,2.0
28,INC000000126352,Альянс СК,наблюдается снижение скорости доступа к ит сервисам,добрый день в филиале альянса в г чебоксары наблюдается снижение скорости доступа к ит сервисам подробности во вложении приоритет высокий ,1390373431,2.0
29,INC000000126357,Сколково-менеджмент,почта ,не приходит письма на адрес ,1390384928,2.0
30,INC000000126365,Альянс СК,в г брянск нет связи с цо ,добрый день в филиале альянса в г брянск нет связи с цо подробности во вложении приоритет высокий ,1390465570,2.0
31,INC000000126368,СОГАЗ, в видно записи внешних разговоров только на н ,коллеги добрый день на запись были поставлены телефоны добавлялись в один из рекордеров т к второй не работал номера попадают в диапазон на закладке настроек в разделе интеграция номера присутствуют в правилах записи добавлены в фильтры для отображения в пользовательском интерфейсе настройки на выполнены корректно в видно записи внешних разговоров только на номере в чем может быть проблема ,1390469058,1.0
32,INC000000126369,СОГАЗ,не работает передача прикрепленной информации по зв ,не работает передача прикрепленной информации по звонку с нет записей в системе с прошу устранить проблему по возможности восстановить записи за период и принять меры к тому чтобы подобная ситуация не повторялась и сообщить о принятых мерах ,1390471758,2.0
33,INC000000126370,Билайн,вышла из строя карта на узле ,вышла из строя карта на узле в слоте карты по видимому нужна замена ,1390472356,2.0
34,INC000000126371,Сколково-менеджмент,почта ,про получении писем от этого адресата отправителем писем иногда фигурирует роман дильман так же на почту не доходят письма извне ,1390479557,2.0
35,INC000000126390,МОРГАН ЭНД СТАУТ,вход в пдс не удается,ни через монитор ни через вход в обе пдс недоступна основная система обзвона пишет хотя оба сервера пингуются и подключение через терминал удается ,1390616129,2.0
36,INC000000126424,Сколково-менеджмент,через браузер не работает почта из вне ,пишет следующее ,1390707532,2.0
37,INC000000126446,Альянс СК,в мурманском филиале проблема с подключением к цо,заявка на оказание сервисных услуггород мурманск 	контактная информацияназвание организации оао ск альянс 	сервисный договор от марта г 	контактное лицо дмитрий		тел 		моб 		факс 		 	 	описание проблемы и оборудованияназвание устройства модель с 		 обязательно при заявке на ремонт оборудования серийный номер 		 обязательно при заявке на ремонт оборудования место расположение ул ленина 		,1390887250,2.0
38,INC000000126447,МОРГАН ЭНД СТАУТ,не работает номер ,добрый день прошу подсказать нет ли проблем в атс с транком от мтт номер ,1390890126,2.0
39,INC000000126449,СИБЭКО,не возможно зайти в на одном рабочем месте,на рабочем месте не возможно войти в выдается ошибка телефонии [ ] как обычно бывает когда пытаешься зарегистрироваться на телефон по которому в данный момент говорят рабочее место было настроено и со стороны и со стороны ранее работало на данный момент телефон зарегистрирован в на него можно позвонить с него можно позвонить несколько раз перезагружал телефон это тоже не помогло все остальные рабочие места работают как можно разрешить данную ситуацию ,1390892867,2.0
40,INC000000126452,ВТБ Банк Армения,не хватает места на ,нет места на и потой причине сервер не рабоатет ,1390894769,2.0
41,INC000000126475,Русский Стандарт Страхование,при совершении исходящего вызова когда клиент подни ,при совершении исходящего вызова когда клиент поднимает трубку то слышит гудки как на дозвоне ,1390974160,2.0
42,INC000000126479,Альянс СК,отсутствует связь с цо,добрый день в филиале альянса в г новокузнецк отсутствует связь с цо приоритет высокий ,1390983306,2.0
43,INC000000126486,Альянс СК,пропал доступ ко всем ресурсам в цо,добрый день в филиале ск альянс в г благовещенск пропал доступ ко всем ресурсам в цо заявка во вложении приоритет высокий с уважением филипп короновведущий специалистгруппы сопровождения сетевого оборудования и информационной безопасностиоао ск альянс озерковская наб д москва россиятел 	 доб факс 	 моб 	 ,1390990426,2.0
44,INC000000126492,Сколково-менеджмент, ,коллеги не могу подключиться по к помогите пожалуйста ,1391060926,2.0
45,INC000000126497,Билайн,проблемы с лайнкартой на ,добрый день у нас была с а вы прислали с дело в том что все у нас с то есть версия у нас поэтому пробовали ставить старую с новым ошибка есть новую со старым ошибка естьновую с новым ошибка естьсейчас в стоят две карты в конфигурации новая с новым первый слот старая со старым третий слот ошибка есть в первом и третьем слотах ,1391070173,2.0
46,INC000000126518,МОРГАН ЭНД СТАУТ,проблема с ,на транке есть трафик но тишина и у абонентов и у нас при приеме звонка ,1391155727,2.0
47,INC000000126524,Джи Эм-Автоваз,авторизация клиентов в через перестала ра , авторизация клиентов в через перестала работать невозможно инсталировать политику на кластер приоритет аварийный ,1391168029,2.0
48,INC000000126541,Аджиномото/АГРИ,проблемы с почтой ,добрый день возникли проблемы с хождением почты почта становится в очередь и не уходит возможно дело еще в чем то или эта информация не совсем верная просьба посмотреть и разобраться при необходимости связаться с боковым владимиром для уточнений спасибо ,1391414211,2.0
49,INC000000126542,Альянс СК,пропал интернет , заявка на оказание сервисных услуггород петропавловск камчатск 	контактная информацияназвание организации роснооао росно 	сервисный договор от марта г 	контактное лицо шубкина елена дир р филиала на камчатке 			тел 	моб 		факс 		 	 	описание проблемы и оборудованияпропал интернет наш мониторинг показывает доступность циско название устройства модель 		 обязательно при заявке на ремонт оборудования серийный номер 		 обязательно при заявке на ремонт оборудования место расположение г петропавловск камчатский ул ленинская оф 	,1391417352,2.0
50,INC000000126545,Альянс СК,нет связи с головной компанией г москва,заявка на оказание сервисных услуггород кострома 	контактная информацияназвание организации оао ск альянс костромской филиалсервисный договор от марта г 	контактное лицо павлова елена петровна	тел 	моб 	факс 	 	описание проблемы и оборудованиянет связи с головной компанией г москва название устройства модель 	 обязательно при заявке на ремонт оборудования серийный номер 	 обязательно при заявке на ремонт оборудования место расположение г кострома ул ленина дом офис ,1391420901,2.0
51,INC000000126548,СОГАЗ,отображение статистики в группе с пб филиала,коллеги добрый день прошу рассмотреть заявку савченко николай владимирович согаз служба поддержки пользователей гущин александр валентинович отображение статистики в группе с пб филиалав некорректно считаются входящие звонки на номера работников группы в частности оператор о хан по данным отчета не приняла ни одного звонка с уважением николай владимирович савченконачальник управления по организации медицинской помощиоао согаз тел доб ,1391427987,2.0
53,INC000000126554,Росгосстрах,проблема с ,добрый день установил пач в момент рестарта службы выполнялась процедура после старта системы записи не воспроизводятся старые тоже на юзер интерфейсе форма пустая информация о вызовах присутствует прошу помочь моб ,1391486027,2.0
54,INC000000126556,Альянс СК,в филиале альянса в г ноябрьск неисправно сетевое об ,добрый день в филиале альянса в г ноябрьск неисправно сетевое оборудование подробности во вложении приоритет по согласованию с контактным лицом указанным в заявке ,1391507953,2.0
55,INC000000126586,Альянс СК,пропала связь с региональными филиалами,в цо альянса на озерковской наб пропала связь с региональными филиалами,1391576897,2.0
56,INC000000126587,Русский Стандарт Страхование,изменения в тел станции ,коллеги добрый день предыдущая заявка после перевода настроек с номера на перестало выполняться правило когда нет ни одного человека присоединнёного к скилу все звонки по данному скилу перенаправляются на мобильный телефон просьба решить проблему т к это критичный бизнес процесс филисов денисзао русский стандарт страхование моб раб доб ,1391580290,2.0
57,INC000000126589,СИБЭКО,на одном рабочем месте не записываются разговоры,на рабочем месте перестали записываться разговоры сам телефон доступен звонки на него распределяются от телефона до серверов и маршрут идентичен другим телефонам на которых запись разговоров продолжается версия прошивки также аналогичная другим аппаратам телефон никакие системные настройки не менялись но проверены еще на раз в телефон попадает в маску с правилом в телефон добавлен в пользователей и разрешено чем может быть вызвана данная проблема и как ее можно разрешить ,1391585154,2.0
58,INC000000126590,СОГАЗ,проблема с ,не работает рп фастбизи в циске статус ,1391587790,2.0
59,INC000000126591,Альянс СК,в филиале альянса в г петрозаводск нет связи с цо,описание проблемы и оборудования не работал канал с гк перестал работать и интернет сейчас ничего не работает индикатор питания устройства активен индикатор статус мигает перегрузка устройства изменений в ситуацию не принесла название устройства модель 		 обязательно при заявке на ремонт оборудования серийный номер 		 обязательно при заявке на ремонт оборудования место расположение республика карелия г петрозаводск набережная варкауса д корп 		,1391588220,2.0
60,INC000000126595,Альянс СК,нижний новгород не работает доступ в интернет через ,добрый день просьба сообщить почему в филиале нижний новгород сеть не работает доступ в интернет \ \ > [ ] \ \ > < < < ,1391589659,2.0
61,INC000000126612,СОГАЗ,не работает основной сервер ,коллеги добрый день не работает основной сервер возвращается ошибка сервер конфигурации не работает с уважением гущин александрглавный специалист управление проектирования корпоративной информационной системы оао согаз тел вн ,1391670166,2.0
62,INC000000126616,ВТБ Банк Армения,сервер работает медленно ,сервер операцонного дня банка с утра работает медленно просим помоши ,1391674797,2.0
63,INC000000126619,Сколково-менеджмент,телефония,коллеги произошел какой та сбой с ссмзвонки приходящие на внешний номер уходят на группу звонков далее звонки должны поступать на номера и дрно звонок не доходит на после голосового приветствия просьба разобраться почему так случилось ,1391691356,2.0
64,INC000000126627,Сколково-менеджмент, ,не могу зайти по на сервер скрин ошибки во вложении,1391746711,2.0
65,INC000000126630,Норильский Никель,теневые копии файлов недоступны,теневые копии файлов доступны только при подключении к серверу приложений на который этот файл был скопирован при подключении к другому сп появляется сообщение об ошибке продолжение заявки ,1391755056,2.0
67,INC000000126633,Дименшион Дата, , [ ] ,1391759591,2.0
68,INC000000126634,Макомнет, не выдаёт заданное напряжение , не выдаёт заданное напряжение ,1391761642,2.0
69,INC000000126635,Софткей,атака на контакт центр,просьба оперативно выяснить вопрос как мы можем заблокировать входящие звонки с номера с которого сейчас идет массовая атака на наш контак центр,1391763112,2.0
70,INC000000126683,МОРГАН ЭНД СТАУТ,не работает номер ,просьба проверить все ли в порядке с атс у нас были ухудшения связи теперь и вовсе нет соединения или идет сброс остальные пока проверить не успел,1392012911,2.0
71,INC000000126686,ФосАгро-Череповец,о канале трс,при подключении канала трс ростелекома на азотном комплексе трафик видеоконференции переходит на указанный канал ростелекома со стороны фосфорного комплекса сервер видеоконференции становится не доступным на азотном комплексе получается сервер видеоконференции доступный от обоих каналов от ттк и от ростелекома на фосфорном комплексе только со стороны ттк на сегодняшний день пришлось отключить канал ростелекома ,1392018263,1.0
72,INC000000126687,СОГАЗ, завис выбивает агентов из контура ,добрый день приоритет критическийподсистема сегодня примерно в завис не показывал актуальную статистику реального времени после перезапуска вся статистика за день обнулилась также в течение утра постоянно выбивает агентов из контура с уважением георгий чудаевруководитель единого контакт центраоао согаз тел внутр факс единый контакт центр ,1392019837,2.0
73,INC000000126689,Альянс СК,в филиале альянса в г чита пропала связь с цо ,добрый день в филиале альянса в г чита пропала связь с цо подробности во вложении приоритет высокий ,1392021744,2.0
74,INC000000126690,Софткей,проблемы с настройками портов,звонили из билайн очень переживают настройками портов наблюдают с ним проблему просят оперативно с ними связаться по номеру михаил,1392024297,1.0
75,INC000000126691,Сколково-менеджмент,принтер,не печатает ни один из сетевых принтеров ни с сервера ни на прямую по адресу,1392025614,2.0
77,INC000000126704,Сколково-менеджмент,принтер,принтер с маком подключен в розетку нсд которая приходит в порт циски принтер в зарезервирован на на данный момент принтер получает просьба помочь как можно скорее спасибо,1392109201,2.0
78,INC000000126706,Билайн,после выключения питания на узле не по ,в другой слот переставляли не помогло | ,1392111405,2.0
80,INC000000126784,Билайн, , установлено последнее из возможных пов багах ничего про ошибку нетпросьба подсказать решение проблемы с крешами,1392275766,2.0
81,INC000000126787,ФосАгро-Череповец,вышел из строя модуль ,вышел из строя модуль на обслуживании фзам просьба выслать замену ,1392282090,2.0
82,INC000000126790,ИНТАЧ СТРАХОВАНИЕ,проблема с голосовым трафиком,добрый вечер у нас проблема с голосом ходящим через а именно односторонняя слышимость в цо и говорит и слышит а только говорит ,1392297877,2.0
83,INC000000126793,Билайн,неисправность в на ,после серии ошибок в логах появилась запись [ ] пробовали перегружать руками карта возвращается в состояние если необходимо могу прислать ,1392358597,2.0
84,INC000000126800,Русский Стандарт Страхование,проблемы с тел линией,коллеги добрый день вчера в туле отключалось электричество на продолжительный срок сегодня с утра была замечена проблема с тел станцией если из тулы попытаться позвонить на внешний или внутренний московский номер человек из тулы будет прекрасно слышать москву а человек из москвы не будет слышать человека из тулы в то же время если позвонить из москвы в тулу оба слышат друг друга прекрасно с уважением филисов денисзао русский стандарт страхование моб раб доб ,1392618150,2.0
85,INC000000126801,ВТБ Банк Армения,сбой ,сбой прощу вашего содействия сапсибо ,1392619035,2.0
86,INC000000126805,СОГАЗ,агент в статусе не готов ,коллеги добрый день в контуре находится сотрудник людмила козяр при входе в под номером на закладке указан агента однако сотрудник с этим идентификатором не мог залогиниться на данном номере телефона ,1392624407,2.0
88,INC000000126808,Сколково-менеджмент,проблема с почтой,не доходят письма до с адреса от < >дата февраля г кому тема ,1392631201,2.0
89,INC000000126810,Альянс СК,ск альянс недоступен томск,добрый день коллеги посмотрите пож ста томск недоступен дня спасибо с уважениемвалерий гарейшин ,1392637043,2.0
90,INC000000126820,Сколково-менеджмент,перестало работать подключение по ,перестало работать подключение по использованием на раньше работало сейчас подключаешь провод выскакивает окно ввода имени пароля пользователя но на любые формы указания имени пароля снова выскакивает это же окно контактное лицо анатолий говоров,1392704373,2.0
91,INC000000126824,Альянс СК,у пользователей архангельска не открывается ссылка ,добрый день у пользователей архангельска не открывается ссылка просьба зарегистрировать заявку с уважением филипп короновведущий специалистгруппы сопровождения сетевого оборудования и информационной безопасностиоао ск альянс озерковская наб д москва россиятел 	 доб факс 	 моб 	 ,1392710364,2.0
92,INC000000126826,Сколково-менеджмент,принтер не получает ,в здании кавказ установлен новый принтер под него зарезериврован мак сейчас принтер не получает не пингуется прошу исправить вопрос срочный ,1392713811,2.0
93,INC000000126918,Сколково-менеджмент,не приходят письма от внешних адресатов, не приходит почта от внешних адресатов этим двум пользователям,1392799767,2.0
94,INC000000126927,Альянс СК,из владимирского филиала недоступны следующие адреса ,контактное лицо лаптев алекссей		тел 		моб 		факс 		 	 	описание проблемы и оборудованияиз владимирского филиала недоступны следующие адреса название устройства модель 		 обязательно при заявке на ремонт оборудования серийный номер ,1392813400,2.0
95,INC000000126933,Сколково-менеджмент,не работает сервер,не работает сервер,1392875525,2.0
96,INC000000126938,Сколково-менеджмент,замена контроллера и вентилятора для схд,замена контроллера и вентилятора для схд,1392900364,2.0
97,INC000000126941,Сколково-менеджмент,коллеги очень срочная заявка,коллеги очень срочная заявка нужно обязательно сделать сегодня как можно быстрее есть устройство поликом оно обычно находится на этаже корпуса б сейчас возникла необходимость переставить его в аудиторию конгресс холл подключено к циске в порт мак адрес под него зарезервирован нужно настроить порт чтобы он смог подключиться к внутренней сети и получить ,1392917282,3.0
98,INC000000126944,Сколково-менеджмент,не работают принтеры,коллеги доброе утро со вчера перестали работать принтеры в сети при прямом подключении принтера к ноутбуку сетевым кабелем работает нормально ,1392961847,2.0
99,INC000000126945,Билайн,вышла из строя карта ,вышла из строя карта в роутере логи в аттаче физическая переустановка не помогла просьба рассмотреть возможность замены ,1392964100,2.0
100,INC000000126947,Zeppelin Armenia,проблема с ,уважаемые коллеги у нас следующая проблема с при подключении через соединение устанавливается однако пользователи не проходят аутентификацию в ад проблема крайне срочная так как удаленные пользователи не имеют доступ к ресурсам ,1392973149,2.0
101,INC000000126951,Zeppelin Armenia,проблема с ,коллеги при проверке с вашим сотрудником мы проверяли через проблема с оказалось бывает только при подключении через при подключении получает из той же подсетки что и при подключении через других провайдеров однако в этом случае даже пинги не идут ,1392980985,2.0
103,INC000000126968,Сколково-менеджмент,не работают принтеры,коллеги добрый день вчерашняя проблема с принтерами повторилась не печатают сетевые принтеры ,1393075940,2.0
104,INC000000126969,ИнвестторгБанк,отсутствие исходящей связи в кц,отсутствие исходящей связи в кц акб инвестторгбанк приблизительно с описание проблемы при попытке совершить исходящие звонки в трубке сначала тишина потом слышны короткие гудки исходящая связь невозможна как на внутренние так и на внешние номера телефонов ,1393141707,2.0
105,INC000000126970,ИнвестторгБанк,отсутствие исходящей связи в кц,добрый день с до отсутствовала исходящая связь номер заявки не указываю т к нет доступа к ресурсу ,1393168206,2.0
